,0,1,2,3,4,5,6,7,8,9
0,13500.0,23.0,46986.0,2.0,90.0,1.0,0.0,2000.0,3.0,1165.0
1,13750.0,23.0,72937.0,2.0,90.0,1.0,0.0,2000.0,3.0,1165.0
2,13950.0,24.0,41711.0,2.0,90.0,1.0,0.0,2000.0,3.0,1165.0
3,14950.0,26.0,48000.0,2.0,90.0,0.0,0.0,2000.0,3.0,1165.0
4,13750.0,30.0,38500.0,2.0,90.0,0.0,0.0,2000.0,3.0,1170.0
5,12950.0,32.0,61000.0,2.0,90.0,0.0,0.0,2000.0,3.0,1170.0
6,16900.0,27.0,94612.0,2.0,90.0,1.0,0.0,2000.0,3.0,1245.0
7,18600.0,30.0,75889.0,2.0,90.0,1.0,0.0,2000.0,3.0,1245.0
8,21500.0,27.0,19700.0,3.0,192.0,0.0,0.0,1800.0,3.0,1185.0
9,12950.0,23.0,71138.0,2.0,69.0,0.0,0.0,1900.0,3.0,1105.0
10,20950.0,25.0,31461.0,3.0,192.0,0.0,0.0,1800.0,3.0,1185.0
11,19950.0,22.0,43610.0,3.0,192.0,0.0,0.0,1800.0,3.0,1185.0
12,19600.0,25.0,32189.0,3.0,192.0,0.0,0.0,1800.0,3.0,1185.0
13,21500.0,31.0,23000.0,3.0,192.0,1.0,0.0,1800.0,3.0,1185.0
14,22500.0,32.0,34131.0,3.0,192.0,1.0,0.0,1800.0,3.0,1185.0
15,22000.0,28.0,18739.0,3.0,192.0,0.0,0.0,1800.0,3.0,1185.0
16,17950.0,24.0,21716.0,3.0,110.0,1.0,0.0,1600.0,3.0,1105.0
17,16750.0,24.0,25563.0,3.0,110.0,0.0,0.0,1600.0,3.0,1065.0
18,16950.0,30.0,64359.0,3.0,110.0,1.0,0.0,1600.0,3.0,1105.0
19,15950.0,30.0,67660.0,3.0,110.0,1.0,0.0,1600.0,3.0,1105.0
20,16950.0,29.0,43905.0,3.0,110.0,0.0,1.0,1600.0,3.0,1170.0
21,16950.0,28.0,32220.0,3.0,110.0,1.0,0.0,1600.0,3.0,1120.0
22,16250.0,29.0,25813.0,3.0,110.0,1.0,0.0,1600.0,3.0,1120.0
23,15950.0,25.0,28450.0,3.0,110.0,1.0,0.0,1600.0,3.0,1120.0
24,16950.0,28.0,44142.0,3.0,110.0,0.0,0.0,1600.0,3.0,1120.0
25,17950.0,30.0,11090.0,3.0,110.0,1.0,0.0,1600.0,3.0,1120.0
26,12950.0,29.0,9750.0,3.0,97.0,1.0,0.0,1400.0,3.0,1100.0
27,15750.0,22.0,35199.0,3.0,97.0,1.0,0.0,1400.0,3.0,1100.0
28,15950.0,27.0,29510.0,3.0,97.0,1.0,0.0,1400.0,3.0,1100.0
29,14950.0,26.0,32692.0,3.0,97.0,1.0,0.0,1400.0,3.0,1100.0
30,15500.0,22.0,41000.0,3.0,97.0,1.0,0.0,1400.0,3.0,1100.0
31,15750.0,26.0,43000.0,3.0,97.0,0.0,0.0,1400.0,3.0,1100.0
32,14950.0,23.0,10000.0,3.0,97.0,1.0,0.0,1400.0,3.0,1100.0
