,0,1,2,3,4,5,6,7,8,9
0,13250.0,32.0,45725.0,3.0,110.0,1.0,0.0,1600.0,5.0,1075.0
1,10950.0,44.0,74846.0,3.0,97.0,1.0,0.0,1400.0,3.0,1025.0
2,8750.0,74.0,42317.0,3.0,107.0,1.0,1.0,1600.0,5.0,1100.0
3,7450.0,75.0,67451.0,3.0,86.0,1.0,0.0,1300.0,4.0,1000.0
4,18950.0,13.0,57037.0,3.0,110.0,0.0,0.0,1600.0,5.0,1115.0
5,10750.0,55.0,52149.0,3.0,97.0,1.0,0.0,1400.0,3.0,1085.0
6,8900.0,59.0,36954.0,3.0,110.0,1.0,0.0,1600.0,3.0,1050.0
7,10495.0,62.0,58000.0,3.0,110.0,1.0,0.0,1600.0,3.0,1065.0
8,9500.0,68.0,80121.0,3.0,110.0,0.0,0.0,1600.0,5.0,1070.0
9,8900.0,59.0,86888.0,3.0,110.0,1.0,0.0,1600.0,3.0,1050.0
10,8200.0,60.0,64383.0,3.0,86.0,0.0,0.0,1300.0,3.0,1015.0
11,8600.0,68.0,117955.0,3.0,110.0,1.0,1.0,1600.0,4.0,1065.0
12,7950.0,73.0,99971.0,3.0,110.0,1.0,0.0,1600.0,3.0,1050.0
13,9750.0,65.0,111769.0,3.0,110.0,0.0,0.0,1600.0,3.0,1065.0
14,16500.0,20.0,35000.0,3.0,97.0,1.0,0.0,1400.0,5.0,1110.0
15,7950.0,73.0,85200.0,3.0,110.0,1.0,0.0,1600.0,3.0,1050.0
16,7950.0,68.0,74889.0,3.0,86.0,1.0,0.0,1300.0,3.0,1015.0
17,8750.0,79.0,86000.0,3.0,86.0,1.0,0.0,1300.0,5.0,1040.0
18,7750.0,77.0,54439.0,3.0,86.0,1.0,0.0,1300.0,3.0,1015.0
19,9450.0,67.0,99781.0,3.0,110.0,1.0,0.0,1600.0,5.0,1085.0
20,10500.0,60.0,85000.0,3.0,86.0,1.0,0.0,1300.0,3.0,1025.0
21,7950.0,80.0,97548.0,3.0,86.0,0.0,0.0,1300.0,5.0,1035.0
22,8950.0,55.0,94401.0,2.0,72.0,0.0,0.0,2000.0,3.0,1115.0
23,7450.0,78.0,52287.0,3.0,110.0,0.0,0.0,1600.0,5.0,1114.0
24,13950.0,51.0,53268.0,3.0,110.0,1.0,0.0,1600.0,5.0,1080.0
25,14950.0,42.0,53719.0,3.0,110.0,1.0,1.0,1600.0,5.0,1105.0
26,5950.0,75.0,74567.0,3.0,86.0,1.0,0.0,1300.0,3.0,1015.0
27,9200.0,69.0,89096.0,3.0,110.0,1.0,0.0,1600.0,5.0,1085.0
28,6450.0,75.0,101855.0,3.0,110.0,1.0,0.0,1600.0,5.0,1070.0
29,11250.0,52.0,58596.0,3.0,110.0,1.0,0.0,1600.0,3.0,1045.0
30,10250.0,61.0,95147.0,3.0,110.0,1.0,0.0,1600.0,3.0,1050.0
